10 Ingeniería LTDA.,1159
3M Colombia S.A.,383
3M Corporate Research Materials Laboratory,2307
50Hertz Transmission GmbH,384
A C Ingenieros S.A.S.,1160
A.G.P. de Colombia S.A.,385
A2V Ingenieria S.A.S.,1161
Aalborg University,41
AB PROYECTOS S.A.,386
Abo Akademi,1937
Academia Diplomática Augusto Ramírez Ocampo,2196
Academia Nikola Tesla,906
ACCENTURE LTDA.,2309
ACE AIRE S.A.S,388
Aceites Manuelita S.A.,389
Acerca Mercadeo Estratégico S.A.S.,1162
ACI Worldwide Colombia S.A.S.,1525
Acoples y partes Ltda.,391
ACT TELEMATICA S.A.,2310
Acuades Ingeniería LTDA.,1163
Acueductos E Irrigaciones S.A.S.,1164
ADAMA Andina B.V. Sucursal Colombia,297
Adama Colombia S.A.S.,1838
Adceda Systems S.A.S,1165
Aerorental LTDA.,1166
AFLORE S.A.S.,2068
Agència de Salut Pública de Barcelona,2104
Agencia Nacional de Espectro - ANE,2
AGH University of Science and Technology,2076
AGROEVO - Consulting Group,395
Agroindustria Tomardie S.A.,1923
Aguas de Manizales S.A. ESP,2072
Air Company Ingeniería S.A.S.,1167
Air Liquide Advanced Technologies,1113
Air Products - Indura,1946
Airavata S.A.S.,1168
AIRBUS,2308
AIREFLEX de Colombia S.A.S,2411
Aix Marseille Université - AMU,2106
AJE Colombia,2410
Albtal-Verkehrs-Gesellschaft mbH - AVG,1706
Alcaldía de Funza Cundinamarca,1169
Alcaldía Municipal de Yacuanquer Nariño,2018
Alcaldía municipal Pitalito Huila,2469
Alejandro Faccini & Cía Ltda,396
ALFAGRES S.A.,397
Aliar S.A.,1526
Alice Salomon University of Applied Sciences Berlin - ASH,2107
Alimentos Polar Comercial C.A.,398
ALLEGION COLOMBIA S.A.S.,2311
Almacafe S.A,399
Almacenes Generales de Depósito Almaviva S.A.,1804
ALMACENES GENERALES DE DEPOSITO DE CAFE S.A. ALMACAFE,2312
Almagas S.A. E.S.P.,400
Alpecorp,401
Alstom Power Colombia S.A.,402
Alta Consejería Distrital de las TIC,2015
Alticarpa y Parasoles,403
Alto Comisionado de las Naciones Unidas para los Refugiados - ACNUR - UNHCR ,1170
Alusud Embalajes Colombia Ltda,404
Amarilo S.A.,405
"Amazon.com, Inc",1904
American Glass Products - AGP,394
American Institute Of Chemical Engineers,1967
American School Way,1933
American Society For Horticultural Sciences,1968
American Society For Microbiology,1969
American Society Of Civil Engineers,1970
Américas Business Process Services,1821
Ames Laboratory,2467
Amtex S.A.,406
Andamios Cimbra,471
Andina Trim S.A.,407
Anditel S.A.S.,1527
Andrec Corporation S.A.,408
Andritz Hydro LTDA.,1171
Anjasof Ltda.,409
Ankara Üniversitesi,1172
Apropet S.A.S.,410
Archivo General de la Nación,2095
Archivos Funcionales & Oficinas Eficientes Zzeta S.A.S.,1173
Arcoser S.A.S.,411
Aristotle University of Thessaloniki - AUTh,1174
Arizona State University - ASU,2108
Armacol S.A.,412
Arquitectura y Concreto LTDA,413
Arup Colombia S.A.S.,1175
Asea Brown Boveri - ABB,387
Aservin S.A.,414
Asesoftware S.A.S.,1176
Asesoría en Ingeniería de Petróleos S.A.S. - AIP,1177
Asesorías Industriales Santafé - AIS,415
Asinfar,1394
Asociación Argentina De Control Automático - AADECA,1977
Asociación Argentina De Historia Económica,1978
Asociación Argentina De Horticultura - ASAHO,1979
Asociación Argentina De Ingenieros Químicos - AAIQ,1981
Asociación Argentina De La Ciencia Del Suelos,1982
Asociación Argentina De Mecánica Computacional,1983
Asociación Argentina De Microbiología,1984
Asociación Argentina De Salud Mental,1985
Asociación Argentina De Tecnología Espacial,1986
Asociación Bancaria y de Entidades Financieras de Colombia - ASOBANCARIA,416
Asociación Brasileña De Corrosión ABRACO,1989
Asociación Brasileña De Ingeniería Geológica y Medio Ambiente,1987
Asociación Brasileña De Polímeros,1988
Asociación Brasilera De Ingeniería y Ciencias Mecánicas,1990
Asociación Campesina del Valle del Río Cimitarra - ACVC,1724
Asociación Colombia de Ingenieros - ACIEM,390
Asociación Colombiana De Automática,1991
Asociación Colombiana De Botánica,1992
Asociación Colombiana De Ciencia y Tecnología De Alimentos,1993
Asociación Colombiana de Ciencias Biológicas,2470
Asociación Colombiana de Corrosión y Protección - ASCOR,1975
Asociación Colombiana de Electroquímica,2471
Asociación Colombiana De Facultades De Administración - ASCOLFA,1973
Asociación Colombiana de Facultades de Ingeniería,2023
Asociación Colombiana de Fitopatología y Ciencias Afines - ASCOLFI,1974
Asociación Colombiana De Medicina Interna,1971
Asociación Colombiana pro Enseñanza de la Ciencia - Buinaima,892
Asociación Colombiana Red Académica de Diseño - RAD,97
Asociación de Armadores de Colombia - ARMCOL,21
Asociación de Ingenieros Agrícolas de Colombiana - Asiac,417
Asociación de Ingenieros Civiles de la Universidad Nacional de Colombia - aicun,1893
Asociación Gremial Alianza Nacional de Autoservicios - Superalko,418
Asociación Iberoamericana de Instituciones de Enseñanza de la Ingeniería,1723
Asociación Interamericana de Ingeniería Sanitaria y Ambiental - AIDIS,1922
Asociación Internacional de Consultoría - AIC,419
Asociación Nacional de Estudiantes de Ingeniería Civil - ANEIC,22
Asociación Nacional de Industriales - ANDI,89
Asociación Nacional De Ingenieros Javerianos,5
Asociación Química Argentina,2472
Astillero Naval JOL S.A,420
Athletic de Colombia S.A.S.,421
Audi AG,422
Audubon Engineering Solutions - Audubon,423
Austrian Society for Innovative Computer Sciences - INNOC,1896
Autogermana S.A.,424
Autoridad Nacional De Licencias Ambientales - ANLA,1552
Avance Lectura Avanzada,1905
Avancediten Brasil,425
Avantel S.A.S.,1178
Ave Colombiana S.A.S.,1179
AVIANCA S. A.,426
Avira Operations GmbH & Co.KG,427
Avizor S.A.,428
AXA,429
AXA COLPATRIA CAPITALIZADORA S.A.,2313
Axiomática Soluciones Tecnológicas S.A.S.,1180
AZLOGICA Colombia Soluciones Telemáticas,430
Azul K S.A,2065
B Smart EU,2414
Baden-Württemberg Stiftung,2028
Badische Anilin- und Soda-Fabrik - BASF Colombia,437
Bahçeşehir University - BAU,1553
Banco Agrario de Colombia S.A,432
Banco BBVA,1087
Banco Bilbao Vizcaya Argentaria - BBVA,433
Banco de la República de Colombia - BRC,435
Banco de las Microfinanzas - Bancamia S.A,436
Banco Interamericano de Desarrollo - BID,1907
Banco Mundial - World Bank,1554
Banco Santander S.A,2110
Bardot S.A.,1181
BASF QUIMICA COLOMBIANA S.A.,2314
Bauberatungszentrum Süd GmbH & Co.,310
Bavaria S.A.,438
Bayer AG,439
Bayer Technology Services GmbH - BTS,440
Becerra & Guevara Ltda Lb & Lg,441
Beijing Foreign Studies University,2111
Běijīng Kējì Dàxúe,287
Bel-Star S.A.,1818
Belcorp,442
BELL FLAVORS & FRAGANCES COLOMBIA S.A.S.,2315
Ben-Gurion University of the Negev - BGU,1715
BENEFICIAR ENTIDAD COOPERATIVA,2316
Benemérita Universidad Autónoma de Puebla - BUAP,1725
Biblioteca Luis Ángel Arango,2109
Bio-Pharma Chemicals Colombia S.A.S.,444
Bioagrotech S.A.S.,1182
BioD S.A.,443
BIOTECNIK S.A.S.,2317
BlackSip,2037
BlueSoft Technology S.A.S.,1183
BMW Group,2407
Boehringer Ingelheim International GmbH,2052
Bogotá Beer Company - BBC,445
Bohler – Uddeholm Colombia S.A,2035
Bosch Engineering GmbH - BEG,446
Box Hill Institute,19
Branch Of Microsoft Colombia Inc.,1184
Brandenburgische Technische Universität Cottbus - BTU Cottbus,1185
Bricma's LTDA,447
Brigham Young University - BYU,1726
Brinsa S.A.,448
British Council - Colombia,330
British Petroleum - BP plc,449
Brunel University London,1555
BRUS REFRIGERATION OF COLOMBIA LTDA,2318
BTG Labs,1898
Build Change Latam,1186
Bundesanstalt für Straßenwesen - BASt,577
Bundy Refrigeration of Colombia LTDA.,1187
Bunny Inc.,450
Business Integration Partners SPA,2040
C&U Instrumentación,451
C. I. Florimerca LTDA,452
C.I. Frutas Comerciales S.A.,1188
CA Software De Colombia S.A.,1189
Cabar Clean Energies,453
Cacharrería Mundial S.A.S.,454
Cad Ingenieria Y Sistemas S A S,2458
Caja de Compensación Familiar - CAFAM,455
Caja de Compensación Familiar Compensar,1190
Camaleón Multimedia S.A.S.,1191
Cámara Colombiana de la Infraestructura - CCI,1528
Cámara Colombiana de la Minería,1556
Camara de Comercio Colombo Turca,1192
Cámara De Comercio De Bogotá,4
Cámara Minera del Perú - CAMIPER,2112
Campos Racing - CR Tech S.L.,1941
Campus Iberus,2113
Canadian Bureau for International Education - CBIE,16
Carbones del Cerrejón LLC - Cerrejón,456
Carboquímica S.A.S.,457
Cardif Seguros Generales S.A.,1193
Cardiff University,2091
Carlo Carrizosa Huertas,1194
Carnegie Mellon University,270
CARRERA ARANGO S.A.S.,2319
Casa Editorial El Tiempo,458
Casa Toro S.A.,1195
CasaLuker S.A.,459
Case Western Reserve University,1939
Catalan Institute of Nanoscience and Nanotechnology - ICN2,1557
Catalonia Institute for Energy Research,1813
Catappult S.A.S.,1196
Cátedra S.A.S.,1197
CAV Ingenieros Ltda,460
Caxton & Taylor Professional Services S.A.S.,461
CEA-Leti: Laboratoire d'électronique des technologies de l'information,2042
"CEMEX, S.A.B. de C.V",463
CEN&T Ingenieros consultores S.A.S.,2413
Cenipalma,465
Center for environmental modeling,1558
Centre de coopération internationale en recherche agronomique pour le développement - CIRAD,1198
