MEXICHEM COLOMBIA (PAVCO),MEXICHEM COLOMBIA S.A.S.,709
MEXICHEM RESINAS COLOMBIA S.A.S.,MEXICHEM COLOMBIA S.A.S.,709
MG CONSULTORES S.A.S,MG CONSULTORES S.A.S.,1367
MHEV INGENIERÍA S.A.S.,MHEV INGENIERIA S.A.S.,1368
MILENARIO S.A.S.,MILENARIO S.A.S.,1369
MINDSHARE DE COLOMBIA LTDA ,MINDSHARE DE COLOMBIA LTDA.,1370
MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,1371
MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,1372
MIXED MEDIA LTDA,MIXED MEDIA LTDA,2073
MOLAS & CUEROS S.A.S.,MOLAS & CUEROS S.A.S.,1540
MONTERRA PRODUCTORA Y COMERCIALIZADORA AGROINDUSTRIAL COLOMBIANA S.A.S.,MONTERRA. PRODUCTORA Y COMERCIALIZADORA AGROINDUSTRIAL COLOMBIANA S.A.S.,1541
MOTA ENGIL ENGENHARIA E CONSTRUCAO S.A. SUCURSAL COLOMBIA,MOTA ENGIL ENGENHARIA E CONSTRUCAO S.A.,1374
MOTORYSA (MOTORES Y MAQUINAS S.A.),MOTORES Y MAQUINAS S.A. MOTORYSA,1375
MOTTIF S.A.S,MOTTIF S.A.S.,1376
MOUNTAIN ROSES S.A.S.,MOUNTAIN ROSES S.A.S.,1091
MPS MAYORISTA DE COLOMBIA S.A.,MPS MAYORISTA DE COLOMBIA S.A.,2352
NATURE AND TECHNOLOGY E.U.,NATURE & TECHNOLOGY E.U.,720
NB CONSTRUCTORA S.A.S.,NB CONSTRUCTORA S.A.S.,1088
NEIATEC S.A.S.,NEIATEC S.A.S.,2522
NEOINGENIERIA P&T SAS,NEOINGENIERIA P&T S.A.S.,1086
NESTLÉ PURINA PET CARE DE COLOMBIA S.A.,NESTLE PURINA PET CARE DE COLOMBIA S. A.,1085
NETWORK INGENIERIA SAS,NETWORKING INGENIERÍA S.A.S.,1377
NEW TRADING INTERNATIONAL SAS,NEW TRADING INTERNATIONAL S.A.S.,1379
NEWNET S.A.,NEWNET S.A.,1380
NOVAMBIENTTI SOLUCIONES AMBIENTALES S.A.S.,NOVAMBIENTTI SOLUCIONES AMBIENTALES,2071
NOVASEC S.A.S.,NOVASEC S.A.S.,2353
NOVATOURS LTDA,NOVATOURS LTDA,2354
NOVUS INGENIERÍA S.A.S.,NOVUS INGENIERIA S.A.S.,2355
OCC CONSULTING S.A.S.,OCC CONSULTING S.A.S.,1382
OFICOMCO SAS,OFICOMCO S.A.S.,1383
OINCO SAS,OINCO S.A.S.,1384
OILFIELD SERVICES & SUPPLIES S.A.S.,OILFIELD SERVICES & SUPPLIES S.A.S.,1542
OMNICON SA,OMNICON S.A.,1082
OPERACIONES NACIONALES DE MERCADEO OPEN MARKET LTDA,OPERACIONES NACIONALES DE MERCADEO OPEN MARKET LTDA,729
ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL - ONUDI,ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL - ONUDI,1080
OSHO INGENIERÍA LTDA,OSHO INGENIERIA LTDA.,1077
OSP INTERNATIONAL CALA SAS,OSP INTERNATIONAL CALA S.A.S,1386
